"t1 = timeit.default_timer()
dta['gridcell_y'] = (dta['y']*N/a) + 1
print( ""time elapsed - gridcell_y: "", (timeit.default_timer() - t1))","1 = timeit.default_timer()
fd['cell_grid'] = (y_t['a']*a']*a) + 1)
print(time - grid_time - grid_y - "", (timeit.default_timer() - t1))",3,2,1
"t1 = timeit.default_timer()
dta['gridcell_y'] = (dta['y']*N/a) + 1
print( ""time elapsed - gridcell_y: "", (timeit.default_timer() - t1))","t1 = timeit.default_timer()
#['gridcell_a'] = (x['y']*x/x) + 1
print( ""time elapsed - gridcell_y: "", (timeit.default_timer() - t2))",3,2,1
"clf = lgb.LGBMClassifier(**lgb_params)
clf.fit(X_train, y_train, eval_set=[(X_train, y_train),(X_val, y_val)], verbose = 100, eval_metric ='mae',early_stopping_rounds=200)","= lgb.LGBMClassifier(**lgb_params)
clf.fit(X_train, y_train, eval_set=[(X_train_train, y_train, y_val)], verbose_metric = 100, eval_metric ='mae', eval_stopping_rounds=200)",3,1,1
"clf = lgb.LGBMClassifier(**lgb_params)
clf.fit(X_train, y_train, eval_set=[(X_train, y_train),(X_val, y_val)], verbose = 100, eval_metric ='mae',early_stopping_rounds=200)","clf = lgb.DMatrix(* silent)clf.fit(X_train, y_train, silent=[(X_train, y_train),(), y_val),, verbose = 128, callbacks = DataLoader(), y_train), verbose=True)",2,1,1
"clf = lgb.LGBMClassifier(**lgb_params)
clf.fit(X_train, y_train, eval_set=[(X_train, y_train),(X_val, y_val)], verbose = 100, eval_metric ='mae',early_stopping_rounds=200)","clf = lgb.LGBMClassifier(**lgb_params)
clf.fit(X_train, y_train, eval_set=[(X_train, y_train),(X_val, y_val)], verbose = 100, eval_metric ='mae',early_stopping_rounds=50)'''",4,5,5
"# Output cropped images
cropDir = '/kaggle/working/cropped_train_images/'",# First the images<unk> = '/kaggle/working/<unk>/<unk>/<unk>/<unk>/<unk>/<unk>/<unk>/<unk>/<unk>/<unk>/<unk>/<unk>/<unk>/<unk>/<unk>/<unk>/<unk>/<unk>/,1,1,1
"# Output cropped images
cropDir = '/kaggle/working/cropped_train_images/'","# Output cropped images
cropDir = '/kaggle/workingcropped_input_images/'",5,5,2
"# Output cropped images
cropDir = '/kaggle/working/cropped_train_images/'","Fitting): images
crop = '/kaggle/working/train_images/'",2,1,1
"#focal_loss_label_smoothing________
bool_focal_loss = 0
label_smoothing_rate=0.","focal_loss(""/label_pctfieldscla=[""Fals'])
bool_loss_loss = 10
label_rate_rate=0.0",2,1,1
"#focal_loss_label_smoothing________
bool_focal_loss = 0
label_smoothing_rate=0.","#focal_loss_label_smoothing________
bool_focal_loss =1
label_smoothing_rate=1",5,2,1
"#focal_loss_label_smoothing________
bool_focal_loss = 0
label_smoothing_rate=0.",# Create a <unk><unk> = <unk> <unk>=0.<unk>,1,1,1
"one_id = fbcheckin_train_tbl[fbcheckin_train_tbl['place_id']==4823777529]['timeinmin']
n, bins, patches = plt.hist(one_id, 50)
plt.show()","one_id = fbcheckin_train_tbl[fbcheckin_train_tbl['place_id']==30]['timeNmin']
n, bins, patches = plt.hist(one_id, 50)
plt.show()",5,3,1
"one_id = fbcheckin_train_tbl[fbcheckin_train_tbl['place_id']==4823777529]['timeinmin']
n, bins, patches = plt.hist(one_id, 50)
plt.show()","_id = TimeDistributed_train_train_train[train_train['place_id']==10]['time_max']
min, bins = plt.hist(one_id, 50)
plt.show()
plt.show()",3,1,1
"one_id = fbcheckin_train_tbl[fbcheckin_train_tbl['place_id']==4823777529]['timeinmin']
n, bins, patches = plt.hist(one_id, 50)
plt.show()","aml = Total_reason[HospitalBeds[']']==<unk>]['<unk>'] n, _, labels, training_frame = plt.resize(test_images_ds, 64) plt.show()",1,1,1
#resnet_weights_path = '../input/resnet50/resnet50_weights_tf_dim_ordering_tf_kernels.h5',#resnet_weights_path = '../input/resnet50_weights_tf_dim_ordering_tf_kernels.h1',5,3,1
#resnet_weights_path = '../input/resnet50/resnet50_weights_tf_dim_ordering_tf_kernels.h5',resnet_weights_path = '../input/resnet50/resnet50_weights_tf_dim_ordering_tf.h5',5,3,2
#resnet_weights_path = '../input/resnet50/resnet50_weights_tf_dim_ordering_tf_kernels.h5',<unk><unk> = '../input/siim/<unk>.h5',2,1,1
"df_full_train = prepare_data(df_full_train, n_cell_x, n_cell_y)","_full_train = prepare_data(df_full_train, n_cell_x, n_cell_y)",5,3,2
"df_full_train = prepare_data(df_full_train, n_cell_x, n_cell_y)","<unk> = create_model(<unk>, <unk>, <unk>)",2,1,1
"df_full_train = prepare_data(df_full_train, n_cell_x, n_cell_y)","df_full_train = prepare_data(df_full_train, n_cell_x, n_cell_y)",5,1,1
"f,ax = plt.subplots(figsize=(7,7))
sns.heatmap(data.corr(), annot=True, linewidths=.8, fmt= '.3f',ax=ax)
plt.show()","f,ax = plt.subplots(figsize=(8,5))
sns.heatmap(data.corr(), annot=True, linewidths=.8, fmt= '.dif',ax=ax)
plt.show()",4,4,2
"f,ax = plt.subplots(figsize=(7,7))
sns.heatmap(data.corr(), annot=True, linewidths=.8, fmt= '.3f',ax=ax)
plt.show()","f, == plt.subplots(figsize=(4, )..(data.join(), annot=True, name= '.', annot=0.., annot= '.jpg', == '.', =",1,1,1
"f,ax = plt.subplots(figsize=(7,7))
sns.heatmap(data.corr(), annot=True, linewidths=.8, fmt= '.3f',ax=ax)
plt.show()",",ax = plt.subplots(figsize=(7,7))
sns.heatmap(data.corr(), annot=True, annot=True, fmt=.1, '.ax', fmt=ax)
plt.show()",2,1,1
"hist_range = (-40000.0, 40000.0) # About half of the time range
n_bins = 40000 # One bin per 2.0 time units","_range = (-100.0, 1000.0, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5)",1,1,1
"hist_range = (-40000.0, 40000.0) # About half of the time range
n_bins = 40000 # One bin per 2.0 time units","<unk> = ((sampling_rate.0, train_vectors.0) # <unk> of of the <unk>",2,1,1
"hist_range = (-40000.0, 40000.0) # About half of the time range
n_bins = 40000 # One bin per 2.0 time units","hist_range = (-40000.0, 40000.0) # About half of the time range
n_bins = 50000 # One bin per 1.1",5,5,3
"hidden_layer1 = Conv2D(16, (5,5), activation='relu')(hidden_layer1)
hidden_layer2 = SeparableConv2D(16, (5,5), activation='relu')(hidden_layer2)","aml = Conv2D(64, (3,5), activation='relu')(test_images_ds)lr_schedule = partial(), (3,3), activation='relu')(test_images_ds)",1,1,1
"hidden_layer1 = Conv2D(16, (5,5), activation='relu')(hidden_layer1)
hidden_layer2 = SeparableConv2D(16, (5,5), activation='relu')(hidden_layer2)","_layer1 = Conv2D(16, (5,5), activation='relu')(hidden_layer1)
hidden_layer2 = Conv2D(8, (16,5), activation='relu')(hidden_layer2)",3,3,2
"hidden_layer1 = Conv2D(16, (5,5), activation='relu')(hidden_layer1)
hidden_layer2 = SeparableConv2D(16, (5,5), activation='relu')(hidden_layer2)","hidden_layer1 = Conv2D(16, (10,5,1), activation='relu')(hidden_layer1)
hidden_layer = = RandomForestConv16D(8, (8,3), activation='relu')(hidden_layer2)",4,4,2
"UNITS_PATH = os.path.join('..', 'input', 'm5-forecasting-uncertainty', 'sales_train_validation.csv')
weights_path = os.path.join('..', 'input', 'm5git', 'validation', 'weights_validation.csv')","<unk> = os.path.join('..', 'timestamp-train-<unk>', '<unk>.csv')) = os.path.join('..', '<unk>', '<unk>.csv')",1,1,1
"UNITS_PATH = os.path.join('..', 'input','m5-forecasting-uncertainty','sales_train_validation.csv')
weights_path = os.path.join('..', 'input','m5git', 'validation', 'weights_validation.csv')","_PATH = os.path.join.join({'input','m1', 'forecasting_validation', 'validation_csv')
weights_path = os.path.join('../input', 'validation5', 'validation_weights', 'validation_weights.csv')",2,3,1
"UNITS_PATH = os.path.join('..', 'input','m5-forecasting-uncertainty','sales_train_validation.csv')
weights_path = os.path.join('..', 'input','m5git', 'validation', 'weights_validation.csv')","UNITS_PATH = os.path.join('..', 'input','m7-forecasting-uncertainty','sales_train_validation.csv')
weights_path = os.path.join('..', 'input','m7git', 'validation', 'weights_validation.csv')",5,4,2
"_ = alt_session_wrapper(almost_balanced_df, 3)","_ = <unk>(<unk>, 3)",2,1,1
"_ = alt_session_wrapper(almost_balanced_df, 3)","_ = alt_session_wrapper(almost_preprocess_preprocess, )",2,1,1
"_ = alt_session_wrapper(almost_balanced_df, 3)",#NAME?,2,4,1
"X_train, X_valid, Y_train, Y_valid = train_test_split(x_train, y_train,shuffle=True, test_size=0.2, random_state=1)","X_train, X_valid, Y_train, Y_valid = train_test_split(x_train, y_train,shuffle=True, test_size=1.1, random_state=5)",5,4,3
"X_train, X_valid, Y_train, Y_valid = train_test_split(x_train, y_train,shuffle=True, test_size=0.2, random_state=1)","X_train, X_valid, Y_train, y_valid = train_test_split(x_train, y_train,shuffle=True, test_size=0.2, random_state=1)",5,4,1
"X_train, X_valid, Y_train, Y_valid = train_test_split(x_train, y_train,shuffle=True, test_size=0.2, random_state=1)","_train, X_valid, Y_train, Y_valid = train_test_split(x_train, y_train,shuffle=True, test_size=0.1, random_state=1)",5,4,3
"i = 0
coord = df_code.query('image_id == ""{}""'.format(idx_train[i]))[['x', 'y','w','h']].values
centers =get_center(coord)","i = 0
coord = df_code.query('image_id == ""{}""'.format(idx_x))",3,1,1
"i = 0
coord = df_code.query('image_id == ""{}""'.format(idx_train[i]))[['x', 'y','w','h']].values
centers =get_center(coord)","= 00
corrplot = df_code.query('image_id =="".format(idx_train[i))",2,1,1
"i = 0
coord = df_code.query('image_id == ""{}""'.format(idx_train[i]))[['x', 'y','w','h']].values
centers =get_center(coord)","i = 0<unk> = <unk>.join('image_id = ""{}""'}))[['''])['''']']']']'].values = <unk>(<unk>)",1,1,1
"pca = PCA(n_components=7)
raw_pca = pca.fit_transform(raw_data)
plt.scatter(raw_pca[:,0], raw_pca[:,1], color=np.where(raw_labels>0.5,'r','g'))","= PCA(n_components=5)
raw_pca = pca.fit_transform(raw_data)
plt.scatter(raw_raw[:,0], raw_pca[:,1], color_raw[:,1], color=np.where(train_labels>0.5,'r'))",2,2,2
"pca = PCA(n_components=7)
raw_pca = pca.fit_transform(raw_data)
plt.scatter(raw_pca[:,0], raw_pca[:,1], color=np.where(raw_labels>0.5,'r','g'))","pca = PCA(n_components=5) <unk> = pca.fit_transform(test_images_ds):, <unk>[:,1], color=np.array(<unk>$0.5,'image_name','<unk>','<unk>'))",2,1,1
"pca = PCA(n_components=7)
raw_pca = pca.fit_transform(raw_data)
plt.scatter(raw_pca[:,0], raw_pca[:,1], color=np.where(raw_labels>0.5,'r','g'))","pca = PCA(n_components=5)
raw_pca = pca.fit_transform(raw_data)
plt.scatter(raw_pca[:,0], raw_pca[:,1], color=np.where(raw_labels>0.1,'r','g'))",5,4,3
"seq_outcome = data_new[['seq', 'outcome']].drop_duplicates()","<unk> = strategy[['image_name', 'anatom_site_general_challenge']]..()",1,1,1
"seq_outcome = data_new[['seq', 'outcome']].drop_duplicates()","_outcome = data_new[['seq', 'outcome']].drop_duplicates().reset_index()",5,5,3
"seq_outcome = data_new[['seq', 'outcome']].drop_duplicates()","seq_outcome = data_data[['seq', 'outcome']].drop_duplicates()",5,2,1
"model_rmsprop_com_regularizador = create_my_model(use_regularizer=True, optimizer='rmsprop')
model_sgd_com_regularizador = create_my_model(use_regularizer=True, optimizer='sgd')","<unk> = <unk>(<unk>=True, optimizer='rbf')<unk> = <unk>(<unk>=True, optimizer='binary_crossentropy')",1,1,1
"model_rmsprop_com_regularizador = create_my_model(use_regularizer=True, optimizer='rmsprop')
model_sgd_com_regularizador = create_my_model(use_regularizer=True, optimizer='sgd')",model_rmsprop_com_resador = create_model(model = createl(model='binary'),3,2,1
"model_rmsprop_com_regularizador = create_my_model(use_regularizer=True, optimizer='rmsprop')
model_sgd_com_regularizador = create_my_model(use_regularizer=True, optimizer='sgd')","_adam_com_regular_regular = create_my_model(use_regularizer=True, random_state=42)
# model_adam_sgd = create_com_AUC(my_model_use = create_uniform(optimizer=True, sgd_optimizer='sgd')",4,2,1
"count_vectorizer = CountVectorizer(ngram_range=(2, 2),min_df=0.00002)
count_vectorizer.fit(temp) #Learn vocabulary and idf, return term-document matrix.","count_vectorizer = CountVectorizer(ngram_range=(3, 2),min_df=1.00001)
count_vectorizer.fittemp, return vocabulary matrix idf termdocument term matrix.,",3,4,2
"count_vectorizer = CountVectorizer(ngram_range=(2, 2),min_df=0.00002)
count_vectorizer.fit(temp) #Learn vocabulary and idf, return term-document matrix.","_vectorizer = CountVectorizer(ngram_range=(2, 2),min_df=0.10000)
vectorizer_count.fit(temp) =",2,2,1
"count_vectorizer = CountVectorizer(ngram_range=(2, 2),min_df=0.00002)
count_vectorizer.fit(temp) #Learn vocabulary and idf, return term-document matrix.","train_paths = CountVectorizer(missing_values=(2, 2), =0.<unk>) #.fit(x) # <unk> <unk> <unk>.<unk> = <unk>, <unk>",1,1,1
"## ratio for scaling counts based on data sizes. It will be close to 1
train_test_ratio = len(tr)/float(len(te))","## ratio for scaling counts based on data sizes. It will be close to 1
train_test_ratio = len(tr)/s(len(te))",3,1,1
"## ratio for scaling counts based on data sizes. It will be close to 1
train_test_ratio = len(tr)/float(len(te))",# for validation with was on data.,5,1,1
"## ratio for scaling counts based on data sizes. It will be close to 1
train_test_ratio = len(tr)/float(len(te))","fake for scaling counts based on data sizes. It will be defined to 1
train_test_ratio = len(tr_df)/float(len(te))",2,1,1
"input_tensor = Input(shape=(IMG_DIM, IMG_DIM, NO_CHANNEL))","criterion = partial(shape=(<unk>, <unk>, <unk>))",2,1,1
"input_tensor = Input(shape=(IMG_DIM, IMG_DIM, NO_CHANNEL))","input_tensor = Input(shape=(IMG_DIM, IMG_DIM, NO_CHANNEL))",5,2,1
"input_tensor = Input(shape=(IMG_DIM, IMG_DIM, NO_CHANNEL))","_tensor = Input(shape=(IMG_DIM, IMG_DIM, 512))",3,1,1
"train_data = data.drop('is_duplicate', axis=1)
label_data = data['is_duplicate']","_data = data.drop('id', axis=1)
label_data = data[train_id']",3,2,1
"train_data = data.drop('is_duplicate', axis=1)
label_data = data['is_duplicate']","train_data = data.drop('<unk>', axis=1)<unk> = data['<unk>']",1,1,1
"train_data = data.drop('is_duplicate', axis=1)
label_data = data['is_duplicate']","train_data = data.drop('is_duplicate', axis=0)
label_data = data[trainis_duplicate']",3,3,2
"vertical_line_conv = [[1, -1,-1],
[1, -1, -1]]","<unk> = [[1, -1,-1],",2,1,1
"vertical_line_conv = [[1, -1,-1],
[1, -1, -1]]","_line_conv = [[1, 2,-1],
[1, -1, -1]]",4,3,2
"vertical_line_conv = [[1, -1,-1],
[1, -1, -1]]","vertical_line_conv = [[1, -2,-2],
[2,2, -2]]",5,4,2
"train_brute_force = False
train_anysubtype_network = False","#train = train_split()
#train_column_network = True",5,2,1
"train_brute_force = False
train_anysubtype_network = False",<unk> = True<unk> = True,2,1,1
"train_brute_force = False
train_anysubtype_network = False","train_brute_force = False
train_anysubtype_network = True",5,5,5
"test = pd.merge(test, store, how = 'inner', on = 'Store')
test.head()","= pd.merge(test, store, how = 'left', on = 'Store')
test.head()",2,1,1
"test = pd.merge(test, store, how = 'inner', on = 'Store')
test.head()","test = pd.merge(test, train_vectors, how = 'left', on = 'image_name') test.head()",2,1,1
"test = pd.merge(test, store, how = 'inner', on = 'Store')
test.head()","test = pd.merge(test, store, how = 'left', on = 'Store')
test.head()",5,5,4
"cutoff_lo = 0.9 #0.8
cutoff_hi = 0.1 #0.2","_lo = 10.9 #0.8
cutoff_hi = 20.1 #0.2",5,2,1
"cutoff_lo = 0.9 #0.8
cutoff_hi = 0.1 #0.2","cutoff_lo = 0.9 #0.7
cutoff_hi = 2 #1",5,4,2
"cutoff_lo = 0.9 #0.8
cutoff_hi = 0.1 #0.2",cutoff_lo = 0.5 #0.9cutoff_hi = 0.1 #0.2,2,1,1
"X_Test = df_ml_t[[""Call_type"", 'ORIGIN_CALL', 'ORIGIN_STAND', 'MISSING_DATA', 'lon_1st', 'lat_1st']]","X_Test = df_ml_t[[""Call_type"", 'ORIGIN_CALL', 'ORIGIN_STAND', 'MISSING_DATA', 'lon_2st', 'lat_2st']]",5,2,1
"X_Test = df_ml_t[[""Call_type"", 'ORIGIN_CALL', 'ORIGIN_STAND', 'MISSING_DATA', 'lon_1st', 'lat_1st']]","_Test = df_ml_train[[""type_type"", 'Other', 'grid_loss']",2,1,1
"X_Test = df_ml_t[[""Call_type"", 'ORIGIN_CALL', 'ORIGIN_STAND', 'MISSING_DATA', 'lon_1st', 'lat_1st']]","sub = <unk>[[""<unk>"", '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>']]",1,1,1
"#Save all the paths to vars
test_dir = input_dir
train_dir = input_dir/'train_images'","#Save all the paths to vars
test_dir = input_dir
train_dir = input_dir_dir_train'",3,1,1
"#Save all the paths to vars
test_dir = input_dir
train_dir = input_dir/'train_images'","LOAD all the paths toendswith
test_dir = input_dir
train_dir = input_dir/'
",2,1,1
"#Save all the paths to vars
test_dir = input_dir
train_dir = input_dir/'train_images'",## all the real to thetest_gen = PCA data = env/',5,1,1
"store_id = 1000
store_data = rossmann_df[rossmann_df[""Store""] == store_id]","_id = 1000
store_data = LAST_df[df_ml[""Store""] == store_id]",5,1,1
"store_id = 1000
store_data = rossmann_df[rossmann_df[""Store""] == store_id]","store_id = 1000
store_data = rossmann_df[rossmann_df[""Store""] == store_id]",5,1,1
"store_id = 1000
store_data = rossmann_df[rossmann_df[""Store""] == store_id]","arch = 10000 <unk> = <unk>[<unk>[""id""] == <unk>]",2,1,1
"# u = Activation(Wx + b)
u1 = self.activation(u1)
u2 = self.activation(u2)",self.jpg(<unk>) <unk> =,1,1,1
"# u = Activation(Wx + b)
u1 = self.activation(u1)
u2 = self.activation(u2)","u = Activation(C=2)
u1 = self.u(activation)
u2 = self.u = self.u2)",3,1,1
"# u = Activation(Wx + b)
u1 = self.activation(u1)
u2 = self.activation(u2)","# u = Activation(Wx + b)
u_ = self.activation(2)
# = self.activation(1)",2,1,1
"# use small validation steps since the epoch is small
VALIDATION_STEPS = 10","use validation validation steps since the epoch is small
VALIDATION_STEPS = 5",4,4,4
"# use small validation steps since the epoch is small
VALIDATION_STEPS = 10","# use small validation steps since the epoch is small
VALIDATION_STEPS = 5",5,5,5
"# use small validation steps since the epoch is small
VALIDATION_STEPS = 10",# use of validation with the not,5,1,1
"# limit train data to similar timeframe as test data
train1 = train[(train.month>=7) & (train.year==1)]",# = train data = train[(train.id!==)) & (train.train == ) & (train. ==1)],5,1,1
"# limit train data to similar timeframe as test data
train1 = train[(train.month>=7) & (train.year==1)]","# limit train data to similar timeframe as test data
train = = train[(train_month>=2) & (train_datayear_2)",4,1,1
"# limit train data to similar timeframe as test data
train1 = train[(train.month>=7) & (train.year==1)]","limit train data to similar timeframe as test data
train1 = train[(train.month>5) & (train.year==1)",4,3,3
"learn = do_fit(128, 160, 10, 1e-2)
learn.save('s2')","= do_fit(128, 96, 2, 1e-3)
learn.save('s2')",4,3,3
"learn = do_fit(128, 160, 10, 1e-2)
learn.save('s2')","learn = do_fit(128,5, )
learn.save('s-1')",4,1,1
"learn = do_fit(128, 160, 10, 1e-2)
learn.save('s2')","learn = <unk>(128, train_vectors, 10, 1e-1) learn.load_state_dict('efficientnet')",2,1,1
"@@ -1 +1 @@
train = train.drop('Phrase_Clean', 1)","@@ -1 +1 @@
t = train.drop('Phrase_id', 1)",5,2,1
"@@ -1 +1 @@
train = train.drop('Phrase_Clean', 1)","@@ -1 +1 @@train = train.drop('<unk>', 1)",2,1,1
"@@ -1 +1 @@
train = train.drop('Phrase_Clean', 1)","-1 +1 @@
test = trainest.drop('Phrase', 1)",4,1,1
"cartModelImproved = rpart(positive ~., data=train, method=""class"", cp=0.048)
prp(cartModelImproved)","cartModelImproved = rpart(positive ~., data=train, method=""class"", cp=1.5)
prp(cartModelImproved)",5,5,5
"cartModelImproved = rpart(positive ~., data=train, method=""class"", cp=0.048)
prp(cartModelImproved)","Model densvin = rpart(positive ~., data=train, method=""class"", padding=0.05)
prModel(prModel)",3,1,1
"cartModelImproved = rpart(positive ~ ., data=train, method=""class"", cp=0.048)
prp(cartModelImproved)","<unk> = partial(param_dict ~ ., data=train, max_runtime_secs=""."", <unk>=0.<unk>) <unk>(<unk>)",1,1,1
"query = {22:0.8}
topicQuery(data_ldanormal, query).T","query = {22:0.8}
topicQuery(data_ldan_, query).T",5,2,2
"query = {22:0.8}
topicQuery(data_ldanormal, query).T","= {22:0:6}
topic <- Concatenate(data_data, observation.TT).T",3,1,1
"query = {22:0.8}
topicQuery(data_ldanormal, query).T","cols = {::0.01} <unk>(<unk>, "").<unk>.<unk>",1,1,1
"# Create the model in a different cell, just in case we want to train it several times
model = create_model(dropout=30)","# Create the model in a different cell, just in case we want to train it several times
model = create_model(3=5)",3,1,1
"# Create the model in a different cell, just in case we want to train it several times
model = create_model(dropout=30)","# Create the model in a of I, a in the to train to the the to to num_tables to the <unk> = create_model(alpha=30)",5,2,1
"# Create the model in a different cell, just in case we want to train it several times
model = create_model(dropout=30)","Create the model in a different cell, just in it want to train variable
model = create_model(dropout=50)",4,5,5
